Student_ID,Course_ID,Grade
STU001,CRS001,88
STU001,CRS002,76
STU001,CRS006,91
STU001,CRS008,84
STU002,CRS001,72
STU002,CRS003,85
STU002,CRS005,79
STU003,CRS006,93
STU003,CRS007,88
STU003,CRS009,76
STU004,CRS011,81
STU004,CRS014,74
STU004,CRS015,89
STU005,CRS016,95
STU005,CRS017,87
STU005,CRS019,78
STU006,CRS021,83
STU006,CRS022,70
STU006,CRS025,91
STU007,CRS001,77
STU007,CRS004,82
STU007,CRS005,68
STU008,CRS006,90
STU008,CRS007,85
STU008,CRS010,72
STU009,CRS012,88
STU009,CRS013,79
STU009,CRS014,95
STU010,CRS018,73
STU010,CRS019,86
STU010,CRS020,91
STU011,CRS022,80
STU011,CRS023,77
STU011,CRS024,88
STU012,CRS001,65
STU012,CRS002,71
STU012,CRS003,83
STU013,CRS007,92
STU013,CRS008,87
STU013,CRS009,74
STU014,CRS011,78
STU014,CRS012,85
STU014,CRS015,69
STU015,CRS016,94
STU015,CRS018,81
STU015,CRS020,76
STU016,CRS021,88
STU016,CRS023,73
STU016,CRS025,90
STU017,CRS002,84
STU017,CRS004,79
STU017,CRS005,92
STU018,CRS006,71
STU018,CRS009,86
STU018,CRS010,80
STU019,CRS013,77
STU019,CRS014,91
STU019,CRS015,83
STU020,CRS017,89
STU020,CRS019,75
STU020,CRS020,94
STU021,CRS022,82
STU021,CRS024,78
STU021,CRS025,87
STU022,CRS001,96
STU022,CRS003,88
STU022,CRS004,73
STU023,CRS007,85
STU023,CRS008,91
STU023,CRS010,79
STU024,CRS011,70
STU024,CRS013,84
STU024,CRS014,88
STU025,CRS016,77
STU025,CRS017,93
STU025,CRS018,86
STU026,CRS021,74
STU026,CRS022,89
STU026,CRS023,81
STU027,CRS002,90
STU027,CRS005,76
STU027,CRS001,83
STU028,CRS008,87
STU028,CRS009,72
STU028,CRS010,95
STU029,CRS012,80
STU029,CRS015,91
STU029,CRS011,68
STU030,CRS024,85
STU030,CRS025,79
STU030,CRS021,92
